search_song,search_artist,matched_song,matched_artist,collection,apple_genre,preview_url,match_status,title_score,artist_score,artist_overlap,version_penalty,failure_reason
POP,Lil Uzi Vert,Sauce It Up,Lil Uzi Vert,Luv Is Rage 2,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5d/91/9a/5d919a39-2383-6c56-7c8e-53275d3c753d/mzaf_15880953497931106136.plus.aac.p.m4a,LOW_CONFIDENCE,0.1428571428571428,1.0,1.0,0.0,SUCCESS
PRC,Peso Pluma X Natanael Cano,Por Las Noches,Peso Pluma,Por Las Noches - Single,Música Mexicana,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/a7/82/66/a7826660-2eab-65ca-c6fd-73c4b979b845/mzaf_1321636681889018691.plus.aac.p.m4a,LOW_CONFIDENCE,0.3529411764705882,0.5555555555555556,1.0,0.0,SUCCESS
Pain 1993,Drake Featuring Playboi Carti,Pain 1993,KID ATAKE,Pain 1993 - Single,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ba/89/c7/ba89c703-70f1-210f-841e-cd32e2109354/mzaf_14935317728211294877.plus.aac.p.m4a,REVIEW,1.0,0.5714285714285714,0.0,0.0,SUCCESS
Painting Pictures,Superstar Pride,Painting Pictures,Verse,Rebuild,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d1/8f/12/d18f12ac-beaf-d147-c6ba-552ed127cf7e/mzaf_5045389217647196392.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.4,0.0,0.0,SUCCESS
Party,Bad Bunny & Rauw Alejandro,Party (MarkCutz Remix) [Mixed],Rauw Alejandro & Bad Bunny,Puro Pari! Ep. 1 (DJ Mix),Urbano latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/48/ea/f4/48eaf4ca-c4d5-71ec-86b2-6d17dc4362df/mzaf_8615003671930893337.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.5454545454545454,1.0,0.25,SUCCESS
Pelle Coat,Lil Durk,Pelle Coat,Nic Perez,Pelle Coat - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/c6/af/2e/c6af2e5e-c6be-8aad-9f9e-f62b2385309a/mzaf_10193126399559946589.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3529411764705882,0.0,0.0,SUCCESS
Perfumito Nuevo,Bad Bunny & RaiNao,Perfumito Nuevo (Piano Cover),Flat Keys,Bad Bunny Piano Covers (Piano Cover),Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/47/dc/62/47dc622a-b50a-5c4f-f713-b3d53c2de173/mzaf_15140325918730212806.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3333333333333333,0.0,0.5,SUCCESS
Perro Negro,Bad Bunny & Feid,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,Urbano latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b3/cd/a2/b3cda27f-382a-ed21-b6b9-2d6d1d4c5bbe/mzaf_15368178672903748165.plus.aac.p.m4a,LOW_CONFIDENCE,0.2307692307692307,1.0,1.0,0.0,SUCCESS
Philly,Playboi Carti & Travis Scott,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",WE DON'T TRUST YOU,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/00/7c/e2/007ce23b-3768-16d5-5036-399264a73055/mzaf_13283247960348749358.plus.aac.p.m4a,LOW_CONFIDENCE,0.4,0.4406779661016949,1.0,0.0,SUCCESS
Play,David Banner,Play,David Banner,Certified (Bonus Track Version),Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9f/43/b3/9f43b31d-9843-fb82-51fc-a3887eb2b0e5/mzaf_17077233061853590968.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Poker Face,Glee Cast,Poker Face (Glee Cast Version) [feat. Idina Menzel],Glee Cast,"Glee: The Music, Volume 3 Showstoppers",Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9f/90/e4/9f90e4ff-4c73-62dc-22f2-c47fc9ba889b/mzaf_10300527003299551911.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Pop Dat Thang,DaBaby,POP DAT THANG (feat. Yung Miami) [Official Remix],"DaBaby, GloRilla & YKNIECE",POP DAT THANG (Official Remix) [feat. Yung Miami] - Single,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/dc/98/37/dc98378f-3341-f84c-3e79-b762b7a502a2/mzaf_15651720359950229079.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.4137931034482758,1.0,0.25,SUCCESS
Pray For You,Jaron And The Long Road To Love,Pray for You,Jhené Aiko,Chilombo (Deluxe Edition),R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/2f/e4/0a2fe47d-6eef-2b90-5130-e9aa6d6479b3/mzaf_9878735931409968773.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.4285714285714285,0.0,0.0,SUCCESS
Prayer In C,Lillywood & Robin Schulz,Prayer In C,Lilly Wood & The Prick,French Touch - Electronic Music Made In France,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a6/6c/50/a66c5034-01cb-5d4e-6eff-43abccf56022/mzaf_590880185659344150.plus.aac.p.m4a,REVIEW,1.0,0.6206896551724138,0.0,0.0,SUCCESS
Praying For Time,Carrie Underwood,Praying for Time,George Michael,"Listen Without Prejudice, Vol. 1 (2017 Remastered)",Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4d/de/56/4dde560e-2def-3554-2b00-4cb0caa3ed66/mzaf_1439779762781509482.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.2666666666666666,0.0,0.0,SUCCESS
Prices,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,Luv Is Rage 2,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fb/bf/d7/fbbfd75a-dfd6-c5a9-e941-e8703db7b4e6/mzaf_12358116739430508489.plus.aac.p.m4a,LOW_CONFIDENCE,0.2608695652173913,1.0,1.0,0.0,SUCCESS
Push Ups,Drake,Push Ups (Drop and Give Me 50) [Instrumental],Cardo Grandz,Push Ups (Drop and Give Me 50) [Instrumental] - Single,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/57/55/57/57555764-a425-83f7-42f7-a5857508631c/mzaf_18312583055228507445.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3529411764705882,0.0,0.25,SUCCESS
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,P***y & Millions (feat. Travis Scott),Drake & 21 Savage,Her Loss,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/f5/c5/df/f5c5dfe9-f2f6-b466-8e56-1291ecd050f5/mzaf_9989072405283317064.plus.aac.p.m4a,LOW_CONFIDENCE,0.8461538461538461,0.5,1.0,0.0,SUCCESS
Qlona,Karol G & Peso Pluma,PROVENZA,KAROL G,PROVENZA - Single,Urbano latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c8/02/c7/c802c7f5-6700-8d24-b429-a2ad609d3a4a/mzaf_16971361264385394488.plus.aac.p.m4a,LOW_CONFIDENCE,0.4615384615384615,1.0,1.0,0.0,SUCCESS
Que Pasaria...,Rauw Alejandro & Bad Bunny,Que Pasaria,Cuarenta y Cinco,"Puras Conocidas, Vol. 3",Latin,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f0/72/af/f072af11-15ba-1de6-3f9b-0badf8472a64/mzaf_3135312531068434957.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3333333333333333,0.0,0.0,SUCCESS
Ran$om,Lil Tecca,Ransom,Lil Tecca,Ransom - Single,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2a/17/cc/2a17cc34-099b-8db4-8426-6a777636b981/mzaf_2270249946485081165.plus.aac.p.m4a,LOW_CONFIDENCE,0.8333333333333334,1.0,1.0,0.0,SUCCESS
Rap Devil,Machine Gun Kelly,RAP DEVIL,mgk,BINGE,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/27/61/ff/2761ff89-788c-93a9-aee6-5c8fbdec431a/mzaf_2291054354348524390.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3,0.0,0.0,SUCCESS
Rather Lie,Playboi Carti & The Weeknd,rather lie,vwontop,rather lie - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/88/79/18/88791827-a477-52b7-b871-bc94ea0400ca/mzaf_9142196329219774869.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.1,0.0,0.0,SUCCESS
Remember Me,T.I. Featuring Mary J. Blige,Remember Me,UMI,Remember Me - Single,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c3/5f/2b/c35f2b76-cc15-a2fc-c7d9-ca63574ad045/mzaf_7862671858469862490.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3333333333333333,0.0,0.0,SUCCESS
Right Where You Want Me,Jesse McCartney,Right Where You Want Me (Radio Edit Version),Jesse McCartney,Right Where You Want Me,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3e/15/c9/3e15c9f1-18f7-8dec-0b0e-0608db38a295/mzaf_13713433989740825320.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Rodeo,"<a href=""https://www.billboard.com/artist/lil-Nas-x/"">Lil Nas X & Cardi B Or Nas",MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name) - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/6e/cd/99/6ecd9966-bbe2-36b5-35f1-cd8ed6406906/mzaf_3486740843482888093.plus.aac.p.m4a,LOW_CONFIDENCE,0.3333333333333333,0.2727272727272727,1.0,0.0,SUCCESS
STOOPID,6ix9ine Featuring Bobby Shmurda,Stoopid,Gucci Mane,Stoopid - EP,Hip-Hop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/67/21/17/67211757-90f4-4bb4-62e4-15863887bcac/mzaf_3478025250356678591.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3529411764705882,0.0,0.0,SUCCESS
Sabor Fresa,Fuerza Regida,Sabor Fresa (En Vivo),Banda Renovación,Corridos Bélicos (En Vivo),Música Mexicana,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/9c/41/7d/9c417d08-47dc-a698-f61a-c7ae228f0f0d/mzaf_14432987658284920460.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3448275862068966,0.0,0.0,SUCCESS
Sad!,XXXTENTACION,BAD!,XXXTENTACION,SKINS,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1a/ce/11/1ace116e-b15c-ecc0-4ab8-b22cba545b2e/mzaf_524415492901093684.plus.aac.p.m4a,LOW_CONFIDENCE,0.6666666666666666,1.0,1.0,0.0,SUCCESS
Sanguine Paradise,Lil Uzi Vert,Sauce It Up,Lil Uzi Vert,Luv Is Rage 2,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5d/91/9a/5d919a39-2383-6c56-7c8e-53275d3c753d/mzaf_15880953497931106136.plus.aac.p.m4a,LOW_CONFIDENCE,0.4285714285714285,1.0,1.0,0.0,SUCCESS
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version),Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/69/9a/94/699a948b-a7c4-bbdd-8c86-04c5685c3149/mzaf_85235205216822355.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,1.0,1.0,0.25,SUCCESS
Say Something,Timbaland Featuring Drake,Say Something (feat. Chris Stapleton),Justin Timberlake,Man of the Woods,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/73/4c/6d/734c6d4e-3906-f48b-6e69-56cfb4615d68/mzaf_12604481431824317433.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.4615384615384615,0.0,0.0,SUCCESS
